应用编号,应用名称,页面链接,版本号,下载链接,文件大小,应用类型,开发者,更新时间,图片链接,可执行文件
1025,IceBreaker益智游戏,http://app.loongapps.cn/#/detail/1025,1.21-12.1,http://113.24.212.22:8090/upload/file/icebreaker_1.21-12.1_loongarch64.deb,44KB,游戏娱乐,开源软件,2022-06-14T15:53:47,http://113.24.212.22:8090/upload/image/2022061415531047.png,icebreaker
1005,Micropolis模拟经营游戏,http://app.loongapps.cn/#/detail/1005,0.0.20071228-9.1,http://113.24.212.22:8090/upload/file/micropolis_0.0.20071228-9.1_loongarch64.deb,344KB,游戏娱乐,开源软件,2022-06-10T11:08:13,http://113.24.212.22:8090/upload/image/2022061011020450.png,micropolis
992,mhWaveEdit音乐编辑程序,http://app.loongapps.cn/#/detail/992, 1.4.23-3.1,http://113.24.212.22:8090/upload/file/mhwaveedit_1.4.23-3.1_loongarch64.deb,320KB,音乐应用,开源软件,2022-06-09T09:43:31,http://113.24.212.22:8090/upload/image/202206090942480.png,mhwaveedit
967,Xfe文件管理器,http://app.loongapps.cn/#/detail/967,1.43.1-1.1,http://113.24.212.22:8090/upload/file/xfe_1.43.1-1.1_loongarch64.deb,700KB,系统工具,开源软件,2022-09-23T09:58:44,http://113.24.212.22:8090/upload/image/2022060611002069.png,xfe
900,XML Copy Editor 编辑器,http://app.loongapps.cn/#/detail/900,1.2.1.3-3.1,http://113.24.212.22:8090/upload/file/xmlcopyeditor_1.2.1.3-3.1_loongarch64.deb,1.2MB,编程开发,开源软件,2022-05-31T17:26:32,http://113.24.212.22:8090/upload/image/2022053011153036.png,xmlcopyeditor
893,VITE前端构建工具,http://app.loongapps.cn/#/detail/893,1.2+svn1430-6+deb10u1.1,http://113.24.212.22:8090/upload/file/vite_1.2+svn1430-6+deb10u1.1_loongarch64.deb,2.2MB,编程开发,开源软件,2022-05-30T11:24:37,http://113.24.212.22:8090/upload/image/2022053010574714.png,/usr/bin/vite
875,torcs 3D赛车模拟游戏,http://app.loongapps.cn/#/detail/875,1.3.7+dfsg-4.1,http://113.24.212.22:8090/upload/file/torcs_1.3.7+dfsg-4.1_loongarch64.deb,568KB,游戏娱乐,开源软件,2022-05-27T15:08:38,http://113.24.212.22:8090/upload/image/2022052714532155.png,torcs
850,tkabber端口聊天通信软件,http://app.loongapps.cn/#/detail/850,1.1.2+20160818-1.1,http://113.24.212.22:8090/upload/file/tkabber_1.1.2+20160818-1.1_all.deb,1MB,社交沟通,开源软件,2022-05-20T16:52:32,http://113.24.212.22:8090/upload/image/2022052016005878.png,/usr/bin/tkabber
822,wxhexeditor十六进制编辑器工具,http://app.loongapps.cn/#/detail/822,0.23+repack-3.1,http://113.24.212.22:8090/upload/file/wxhexeditor_0.23+repack-3.1_loongarch64.deb,354.5KB,编程开发,开源软件,2022-06-07T17:38:47,http://113.24.212.22:8090/upload/image/2022051816353398.png,wxHexEditor
808,kbackup备份同步软件,http://app.loongapps.cn/#/detail/808,18.12.1-1.1,http://113.24.212.22:8090/upload/file/kbackup_18.12.1-1.1_loongarch64.deb,458KB,办公应用,开源软件,2022-05-18T14:10:42,http://113.24.212.22:8090/upload/image/2022051814095215.png,kbackup
806,grpn RPN计算器,http://app.loongapps.cn/#/detail/806,1.4.1-1.1,http://113.24.212.22:8090/upload/file/grpn_1.4.1-1.1_loongarch64.deb,42.4KB,办公应用,开源软件,2022-05-18T11:50:42,http://113.24.212.22:8090/upload/image/2022051811501390.png,grpn
805,xfce4-appfinder应用程序查找器,http://app.loongapps.cn/#/detail/805,4.12.0-2.1,http://113.24.212.22:8090/upload/file/xfce4-appfinder_4.12.0-2.1_loongarch64.deb,179.1KB,办公应用,开源软件,2022-05-18T11:55:50,http://113.24.212.22:8090/upload/image/2022051811455369.png,xfce4-appfinder
795,trustedqsl在线日记数字证书,http://app.loongapps.cn/#/detail/795,2.4.3-1.1,http://113.24.212.22:8090/upload/file/trustedqsl_2.4.3-1.1_loongarch64.deb,1.3MB,其他应用,开源软件,2022-05-18T11:06:48,http://113.24.212.22:8090/upload/image/2022051811055813.png,tqsl
758,fet课程表调度,http://app.loongapps.cn/#/detail/758,5.37.5-2,http://113.24.212.22:8090/upload/file/fet_5.37.5-2_loongarch64.deb,2.7MB,教育学习,开源软件,2022-05-16T14:58:22,http://113.24.212.22:8090/upload/image/2022051611413788.png,fet
744,pavumeter声音服务器,http://app.loongapps.cn/#/detail/744,0.9.3-4.1,http://113.24.212.22:8090/upload/file/pavumeter_0.9.3-4.1_loongarch64.deb,23KB,音乐应用,开源软件,2022-05-13T14:55:36,http://113.24.212.22:8090/upload/image/2022051314543257.png,pavumeter
732,terminatorx实时音频合成器,http://app.loongapps.cn/#/detail/732,4.0.1-2.1,http://113.24.212.22:8090/upload/file/terminatorx_4.0.1-2.1_loongarch64.deb,1.6MB,音乐应用,开源软件,2022-05-13T15:12:13,http://113.24.212.22:8090/upload/image/2022051311465859.png,terminatorX
728,buzztrax多功能音乐作曲家,http://app.loongapps.cn/#/detail/728,0.10.2-6.1,http://113.24.212.22:8090/upload/file/buzztrax_0.10.2-6.1_loongarch64.deb,694.2KB,音乐应用,开源软件,2022-05-13T15:13:13,http://113.24.212.22:8090/upload/image/2022051311332024.png,buzztrax-edit --command=load --input-file=%f
723,ripperx CD开膛手,http://app.loongapps.cn/#/detail/723,2.8.0-2.1,http://113.24.212.22:8090/upload/file/ripperx_2.8.0-2.1_loongarch64.deb,121.6KB,音乐应用,开源软件,2022-05-13T15:13:26,http://113.24.212.22:8090/upload/image/2022051311175655.png,ripperx
648,bossa flash编程工具,http://app.loongapps.cn/#/detail/648,1.3~20120408-5.2,http://113.24.212.22:8090/upload/file/bossa_1.3~20120408-5.2_loongarch64.deb,88.2KB,编程开发,开源软件,2022-05-09T16:23:41,http://113.24.212.22:8090/upload/image/202205091622504.png,bossa
640,ddd 命令行调试工具,http://app.loongapps.cn/#/detail/640,13a3.3.12-5.2,http://113.24.212.22:8090/upload/file/ddd_13a3.3.12-5.2_loongarch64.deb,1.1MB,编程开发,开源软件,2022-09-23T16:59:03,http://113.24.212.22:8090/upload/image/2022050915471231.png,ddd
638,gnome-tetravex益智游戏,http://app.loongapps.cn/#/detail/638,1:3.22.0-3.1,http://113.24.212.22:8090/upload/file/gnome-tetravex_13a3.22.0-3.1_loongarch64.deb,1.4MB,游戏娱乐,开源软件,2022-10-13T09:34:40,http://113.24.212.22:8090/upload/image/2022050915310843.png,gnome-tetravex
609,flare2D角色扮演单机游戏(3A5000),http://app.loongapps.cn/#/detail/609,0.19-1.1,http://113.24.212.22:8090/upload/file/flare_0.19-1.1_all.deb,16.4KB,游戏娱乐,开源软件,2022-05-05T17:00:24,http://113.24.212.22:8090/upload/image/2022050516494227.png,usr/games/flare
605,four-in-a-row益智棋类游戏,http://app.loongapps.cn/#/detail/605,1:3.28.0-2.1,http://113.24.212.22:8090/upload/file/four-in-a-row_13a3.28.0-2.1_loongarch64.deb,499.7KB,游戏娱乐,开源软件,2022-10-13T09:29:32,http://113.24.212.22:8090/upload/image/2022050516252528.png,four-in-a-row
573,viruskiller,http://app.loongapps.cn/#/detail/573,1.03-1+dfsg1-2.1,http://113.24.212.22:8090/upload/file/viruskiller_1.03-1+dfsg1-2.1_loongarch64.deb,2.4 MB,游戏娱乐,开源软件,2022-04-27T17:46:35,http://113.24.212.22:8090/upload/image/2022042717460281.png,viruskiller
572,scorched3d策略游戏,http://app.loongapps.cn/#/detail/572,44+dfsg-3.1,http://113.24.212.22:8090/upload/file/scorched3d_44+dfsg-3.1_loongarch64.deb,1.4 MB,游戏娱乐,开源软件,2022-04-27T17:42:32,http://113.24.212.22:8090/upload/image/2022042717413475.png,/usr/games/scorched3d
568,gnubg双陆棋游戏,http://app.loongapps.cn/#/detail/568,1.06.002-1+deb10u1.1,http://113.24.212.22:8090/upload/file/gnubg_1.06.002-1+deb10u1.1_loongarch64.deb,1.2 MB,游戏娱乐,开源软件,2022-04-27T17:13:19,http://113.24.212.22:8090/upload/image/2022042717122085.png,gnubg -w
554,nestopia模拟器,http://app.loongapps.cn/#/detail/554,1.49-2.1,http://113.24.212.22:8090/upload/file/nestopia_1.49-2.1_loongarch64.deb,954.4 KB,游戏娱乐,开源软件,2022-04-26T16:05:39,http://113.24.212.22:8090/upload/image/2022042616042620.png,nestopia
549,gnome-taquin拼图游戏,http://app.loongapps.cn/#/detail/549,3.30.0-2.1,http://113.24.212.22:8090/upload/file/gnome-taquin_3.30.0-2.1_loongarch64.deb,4.4 MB,游戏娱乐,开源软件,2022-04-26T11:52:59,http://113.24.212.22:8090/upload/image/2022042611520767.png,gnome-taquin
525,lios,http://app.loongapps.cn/#/detail/525,2.7-3.1,http://113.24.212.22:8090/upload/file/lios_2.7-3.1_all.deb,110.6 KB,其他应用,开源软件,2022-04-25T11:23:09,http://113.24.212.22:8090/upload/image/202204251122227.png,lios
523,fractalnow图片生成工具,http://app.loongapps.cn/#/detail/523,0.8.2-2.1,http://113.24.212.22:8090/upload/file/fractalnow_0.8.2-2.1_loongarch64.deb,897.0 KB,图像图形,开源软件,2022-04-25T11:12:56,http://113.24.212.22:8090/upload/image/2022042511122172.png,qfractalnow -q
515,pick,http://app.loongapps.cn/#/detail/515,2.0.2-1.1,http://113.24.212.22:8090/upload/file/pick_2.0.2-1.1_loongarch64.deb,20.5 KB,图像图形,开源软件,2022-04-24T15:26:56,http://113.24.212.22:8090/upload/image/2022042415260312.png,mate-color-select
510,Xpaint图像编辑,http://app.loongapps.cn/#/detail/510,2.9.1.4-3.3,http://113.24.212.22:8090/upload/file/xpaint_2.9.1.4-3.3_loongarch64.deb,471.0 KB,图像图形,开源软件,2022-04-24T15:06:16,http://113.24.212.22:8090/upload/image/202204241505022.png,xpaint
495,viewnior图片浏览器,http://app.loongapps.cn/#/detail/495,1.6-1,http://113.24.212.22:8090/upload/file/viewnior_1.6-1_loongarch64.deb,114.7 KB,图像图形,开源软件,2022-04-22T11:32:23,http://113.24.212.22:8090/upload/image/2022042211260250.png,viewnior
493,grafx2图片修改工具,http://app.loongapps.cn/#/detail/493,2.6-2,http://113.24.212.22:8090/upload/file/grafx2_2.6-2_loongarch64.deb,651.3 KB,图像图形,开源软件,2022-04-22T11:01:30,http://113.24.212.22:8090/upload/image/2022042211004096.png,grafx2
482,evince文件浏览器,http://app.loongapps.cn/#/detail/482,3.30.2-3+deb10u1.1,http://113.24.212.22:8090/upload/file/evince_3.30.2-3+deb10u1.1_loongarch64.deb,270.3 KB,网络应用,开源软件,2022-08-16T15:55:41,http://113.24.212.22:8090/upload/image/2022042117412964.png,evince
478,kolourpaint画图,http://app.loongapps.cn/#/detail/478,4:18.04.0-1.lnd.edu2.1,http://113.24.212.22:8090/upload/file/kolourpaint_43a18.04.0-1.lnd.edu2.1_loongarch64.deb,5.7 MB,图像图形,开源软件,2022-10-13T10:14:17,http://113.24.212.22:8090/upload/image/202204211723367.png,kolourpaint
454,IMaginationDVD幻灯片制作工具,http://app.loongapps.cn/#/detail/454,3.4-2,http://113.24.212.22:8090/upload/file/imagination_3.4-2_loongarch64.deb,90.1 KB,视频播放,开源软件,2022-08-16T16:01:08,http://113.24.212.22:8090/upload/image/2022041515243875.png,imagination
375,orbital-eunuchs-sniper狙击游戏,http://app.loongapps.cn/#/detail/375,1.30+svn20070601-4,http://113.24.212.22:8090/upload/file/orbital-eunuchs-sniper_1.30+svn20070601-4_loongarch64.deb,65.5 KB,游戏娱乐,开源软件,2022-04-13T16:10:07,http://113.24.212.22:8090/upload/image/2022033116212433.png,/usr/games/snipe2d
374,ltris益智游戏,http://app.loongapps.cn/#/detail/374,1.0.19-3,http://113.24.212.22:8090/upload/file/ltris_1.0.19-3_loongarch64.deb,446.5 KB,游戏娱乐,开源软件,2022-04-13T16:08:50,http://113.24.212.22:8090/upload/image/2022033116101452.png,ltris
227,Subtitleeditor字幕编辑器,http://app.loongapps.cn/#/detail/227,0.54.0-3.1,http://113.24.212.22:8090/upload/file/subtitleeditor_0.54.0-3.1_loongarch64.deb,341.7 KB,办公应用,开源软件,2022-08-16T09:14:37,http://113.24.212.22:8090/upload/image/2022011911234522.png,subtitleeditor
224,图片剪裁助手,http://app.loongapps.cn/#/detail/224,1.0.0-1,http://113.24.212.22:8090/upload/file/picturecutting_1.0.0-1_loongarch64.deb,845.3 KB,"图像图形,办公应用",开源软件,2022-01-19T10:18:43,http://113.24.212.22:8090/upload/image/2022011910124669.png,/opt/apps/picturecutting/bin/PictureCutting
186,pcalendar周期日历,http://app.loongapps.cn/#/detail/186,3.4.1-3,http://113.24.212.22:8090/upload/file/pcalendar_3.4.1-3_all.deb,540.5 KB,其他应用,开源软件,2021-12-28T11:47:13,http://113.24.212.22:8090/upload/image/2021120715193252.png,pcalendar
176,Guee录屏机,http://app.loongapps.cn/#/detail/176,1.1.0-0,http://113.24.212.22:8090/upload/file/net.guee.recorder-1.1.0-0.loongarch64.deb,374.5 KB,"办公应用,教育学习",Guee,2022-11-10T16:47:28,http://113.24.212.22:8090/upload/image/2021120614391356.png,/opt/apps/net.guee.recorder/files/GueeRecorder
141,MD编辑器,http://app.loongapps.cn/#/detail/141,7.0.4-1.lnd.edu2.1,http://113.24.212.22:8090/upload/file/retext_7.0.4-1.lnd.edu2.1_all.deb,115.3 KB,"办公应用,教育学习",Dmitry Shachnev,2022-10-13T10:00:00,http://113.24.212.22:8090/upload/image/2021110811205116.png,/usr/share/retext/retext.py
113,冠群文档,http://app.loongapps.cn/#/detail/113,1.0.2108.20,http://113.24.212.22:8090/upload/file/greader_1.0.2108.20_loongnix_loongarch64.deb,68.7 MB,"办公应用,教育学习",北京冠群信息技术股份有限公司,2021-12-29T12:06:26,http://113.24.212.22:8090/upload/image/2021102111031150.png,/opt/cssca/greader/greader %F
