应用编号,应用名称,页面链接,版本号,下载链接,文件大小,应用类型,开发者,更新时间,图片链接,可执行文件
1181,Beneath a Steel Shy冒险解谜类游戏,http://app.loongapps.cn/detail/1181,0.0372-7.1,http://app.loongapps.cn:8090/upload/file/beneath-a-steel-sky_0.0372-7.1_all.deb,66.0 MB,游戏娱乐,开源软件,2024-12-16T06:17:09,http://app.loongapps.cn:8090/upload/image/2022091610490385.png,/usr/games/sky
1299,Avahi Zeroconf浏览器,http://app.loongapps.cn/detail/1299,0.7-4.1,http://app.loongapps.cn:8090/upload/file/avahi-discover_0.7-4.1_all.deb,48KB,网络应用,开源软件,2024-12-16T06:15:19,http://app.loongapps.cn:8090/upload/image/2022092211523954.png,/usr/bin/avahi-discover
762,atril多页文档查看器,http://app.loongapps.cn/detail/762,atril_1.20.3-1+deb10u1.lnd.4,http://app.loongapps.cn:8090/upload/file/atril_1.20.3-1+deb10u1.lnd.4_loongarch64.deb,173.4KB,办公应用,开源软件,2024-12-16T06:13:51,http://app.loongapps.cn:8090/upload/image/2022051611523097.png,atril
440,ardentryst动作游戏,http://app.loongapps.cn/detail/440,1.71-6.1,http://app.loongapps.cn:8090/upload/file/ardentryst_1.71-6.1_all.deb,24.2 MB,游戏娱乐,开源软件,2024-12-16T03:53:34,http://app.loongapps.cn:8090/upload/image/2022041416184266.png,/usr/games/ardentryst
1240,apvlv文档查看器,http://app.loongapps.cn/detail/1240,0.1.5+dfsg-4,http://app.loongapps.cn:8090/upload/file/apvlv_0.1.5+dfsg-4_loongarch64.deb,220KB,办公应用,开源软件,2024-12-16T03:51:35,http://app.loongapps.cn:8090/upload/image/2022092015005840.png,apvlv
1312,Alsaplayer播放器,http://app.loongapps.cn/detail/1312,0.99.81-2.1,http://app.loongapps.cn:8090/upload/file/alsaplayer-common_0.99.81-2.1_loongarch64.deb,156KB,音乐应用,开源软件,2024-12-16T03:48:31,http://app.loongapps.cn:8090/upload/image/2022092215212477.png,alsaplayer %U
793,mate-system-monitor系统实时监控工具,http://app.loongapps.cn/detail/793,1:1.20.2-1.lnd.5,http://app.loongapps.cn:8090/upload/file/mate-system-monitor_13a1.20.2-1.lnd.5_loongarch64.deb,105.1KB,系统工具,开源软件,2024-12-12T16:37:25,http://app.loongapps.cn:8090/upload/image/2022051716354836.png,mate-system-monitor
422,MeshLab网格处理系统,http://app.loongapps.cn/detail/422,2023.12-1,http://app.loongapps.cn:8090/upload/file/meshlab_2023.12-1_loongarch64.deb,8.7 MB,其他应用,开源软件,2024-12-03T09:20:12,http://app.loongapps.cn:8090/upload/image/2022041115045089.png,meshlab
401,Terrarium UI原型工具,http://app.loongapps.cn/detail/401,1.5-1,http://app.loongapps.cn:8090/upload/file/terrarium_1.5-1_loongarch64.deb,734.1 KB,编程开发,开源软件,2024-11-22T16:56:48,http://app.loongapps.cn:8090/upload/image/202204020955261.png,Terrarium
425,jqtools工具包,http://app.loongapps.cn/detail/425,24.8.28-1,http://app.loongapps.cn:8090/upload/file/jqtools_24.8.28-1_loongarch64.deb,1.4 MB,编程开发,开源软件,2024-11-22T15:31:06,http://app.loongapps.cn:8090/upload/image/2022041115201476.png,JQTools
