应用编号,应用名称,页面链接,版本号,下载链接,文件大小,应用类型,开发者,更新时间,图片链接,可执行文件
1920,远程查看程序,http://app.loongapps.cn/detail/1920,7.0-2.1,http://app.loongapps.cn:8090/upload/file/virt-viewer_7.0-2.1_loongarch64.deb,233.5 KB,系统工具,开源软件,2025-02-06T01:25:01,http://app.loongapps.cn:8090/upload/image/2023113016143293.png,remote-viewer %u
1305,USBView通用串行总线查看器,http://app.loongapps.cn/detail/1305,2.0-21-g6fe2f4f-2.1,http://app.loongapps.cn:8090/upload/file/usbview_2.0-21-g6fe2f4f-2.1_loongarch64.deb,256KB,系统工具,开源软件,2025-02-06T01:23:06,http://app.loongapps.cn:8090/upload/image/202209221453582.png,su-to-root -X -c /usr/bin/usbview
265,tuxfootball2D足球,http://app.loongapps.cn/detail/265,0.3.1-6.1,http://app.loongapps.cn:8090/upload/file/tuxfootball_0.3.1-6.1_loongarch64.deb,15.8 MB,游戏娱乐,开源软件,2025-02-06T01:22:26,http://app.loongapps.cn:8090/upload/image/2022022516352569.png,tuxfootball
309,texworks编辑器,http://app.loongapps.cn/detail/309,0.6.2-3.lnd.2,http://app.loongapps.cn:8090/upload/file/texworks_0.6.2-3.lnd.2_loongarch64.deb,2.5 MB,办公应用,开源软件,2025-02-06T01:21:29,http://app.loongapps.cn:8090/upload/image/2022031110523232.png,texworks
378,tetzle拼图游戏,http://app.loongapps.cn/detail/378,2.1.3+dfsg1-2.1,http://app.loongapps.cn:8090/upload/file/tetzle_2.1.3+dfsg1-2.1_loongarch64.deb,479.2 KB,游戏娱乐,开源软件,2025-02-05T01:05:54,http://app.loongapps.cn:8090/upload/image/2022033116311769.png,tetzle
1200,Terraintool surface mesh generator地形工具,http://app.loongapps.cn/detail/1200,1.13-2.1,http://app.loongapps.cn:8090/upload/file/terraintool_1.13-2.1_all.deb,296KB,教育学习,开源软件,2025-02-05T01:05:27,http://app.loongapps.cn:8090/upload/image/202209161658231.png,terraintool
1931,synapse图形启动器,http://app.loongapps.cn/detail/1931,0.2.99.4-2.1,http://app.loongapps.cn:8090/upload/file/synapse_0.2.99.4-2.1_loongarch64.deb,353.9 KB,其他应用,开源软件,2025-02-05T01:05:00,http://app.loongapps.cn:8090/upload/image/202312061544208.png,synapse
1205,StarPlot Star Chart Viewer三维星图查看器,http://app.loongapps.cn/detail/1205,0.95.5-8.4,http://app.loongapps.cn:8090/upload/file/starplot_0.95.5-8.4_loongarch64.deb,556KB,教育学习,开源软件,2025-02-05T01:04:38,http://app.loongapps.cn:8090/upload/image/2022091617121586.png,starplot
1933,spotlighter聚光灯,http://app.loongapps.cn/detail/1933,0.3-1.2,http://app.loongapps.cn:8090/upload/file/spotlighter_0.3-1.2_loongarch64.deb,31.7 KB,其他应用,开源软件,2025-02-05T01:04:00,http://app.loongapps.cn:8090/upload/image/202312061550005.png,spotlighter %U
1883,xspim模拟处理器,http://app.loongapps.cn/detail/1883,8.0+dfsg-6.2,http://app.loongapps.cn:8090/upload/file/spim_8.0+dfsg-6.2_loongarch64.deb,244.1 KB,其他应用,开源软件,2025-02-05T01:03:28,http://app.loongapps.cn:8090/upload/image/2023110909410051.png,xspim
228,soundConverter音频转换器,http://app.loongapps.cn/detail/228,3.0.1-2.1,http://app.loongapps.cn:8090/upload/file/soundconverter_3.0.1-2.1_all.deb,109.8 KB,音乐应用,开源软件,2025-02-05T01:03:04,http://app.loongapps.cn:8090/upload/image/2022011911270823.png,soundconverter
494,skanlite扫描,http://app.loongapps.cn/detail/494,2.1.0.1-1.1,http://app.loongapps.cn:8090/upload/file/skanlite_2.1.0.1-1.1_loongarch64.deb,2.2 MB,其他应用,开源软件,2025-02-05T01:02:42,http://app.loongapps.cn:8090/upload/image/2022042211070554.png,skanlite -qwindowtitle
1290,SelekTOR浏览器前端,http://app.loongapps.cn/detail/1290,3.13.72-2.1,http://app.loongapps.cn:8090/upload/file/selektor_3.13.72-2.1_all.deb,272KB,社交沟通,开源软件,2025-02-05T01:02:00,http://app.loongapps.cn:8090/upload/image/2022092116153543.png,/usr/bin/selektor
1140,Sailcut CAD风帆设计绘图,http://app.loongapps.cn/detail/1140,1.4.1-2.1,http://app.loongapps.cn:8090/upload/file/sailcut_1.4.1-2.1_loongarch64.deb,320KB,图像图形,开源软件,2025-02-05T01:00:31,http://app.loongapps.cn:8090/upload/image/2022072116055766.png,sailcut
1292,Robocut刻字机图形处理,http://app.loongapps.cn/detail/1292,1.0.11-1.1,http://app.loongapps.cn:8090/upload/file/robocut_1.0.11-1.1_loongarch64.deb,76KB,办公应用,开源软件,2025-02-05T00:59:50,http://app.loongapps.cn:8090/upload/image/2022092117085860.png,robocut
1288,Ricochet IM加密即时通信工具,http://app.loongapps.cn/detail/1288,1.1.4-3.1,http://app.loongapps.cn:8090/upload/file/ricochet-im_1.1.4-3.1_loongarch64.deb,524KB,社交沟通,开源软件,2025-01-20T09:12:02,http://app.loongapps.cn:8090/upload/image/2022092116090843.png,ricochet
709,rhythmbox音乐播放管理软件,http://app.loongapps.cn/detail/709,3.4.3-2.lnd.3,http://app.loongapps.cn:8090/upload/file/rhythmbox_3.4.3-2.lnd.3_loongarch64.deb,538.2KB,音乐应用,开源软件,2025-01-20T09:11:20,http://app.loongapps.cn:8090/upload/image/2022051214530870.png,rhythmbox
824,remmina远程桌面客户端,http://app.loongapps.cn/detail/824,1.3.3+dfsg-2.lnd.4,http://app.loongapps.cn:8090/upload/file/remmina_1.3.3+dfsg-2.lnd.4_loongarch64.deb,158.6KB,网络应用,开源软件,2025-01-20T09:10:41,http://app.loongapps.cn:8090/upload/image/2022051915521587.png,/usr/bin/remmina --kiosk
1203,Regina数学软件,http://app.loongapps.cn/detail/1203,5.1-6.1,http://app.loongapps.cn:8090/upload/file/regina-normal_5.1-6.1_loongarch64.deb,13.9MB,教育学习,开源软件,2025-01-20T09:07:16,http://app.loongapps.cn:8090/upload/image/2022091617062069.png,regina-gui
1881,qdacco dictionary加泰罗尼亚语英语词典,http://app.loongapps.cn/detail/1881,0.8.5-1.1,http://app.loongapps.cn:8090/upload/file/qdacco_0.8.5-1.1_loongarch64.deb,102.3 KB,教育学习,开源软件,2025-01-20T09:06:12,http://app.loongapps.cn:8090/upload/image/2023110909354946.png,qdacco
1936,pycrust GUI组件,http://app.loongapps.cn/detail/1936,3.0.2.0+dfsg-8.1,http://app.loongapps.cn:8090/upload/file/python-wxtools_3.0.2.0+dfsg-8.1_all.deb,9.9 KB,其他应用,开源软件,2025-01-20T09:05:40,http://app.loongapps.cn:8090/upload/image/2023120616002579.png,pycrust
492,pythoncad绘图,http://app.loongapps.cn/detail/492,0.1.37.0-3.1,http://app.loongapps.cn:8090/upload/file/pythoncad_0.1.37.0-3.1_all.deb,319.5 KB,编程开发,开源软件,2025-01-20T09:03:56,http://app.loongapps.cn:8090/upload/image/2022042210553187.png,pythoncad
1124,pyacidobasic酸碱平衡模拟程序,http://app.loongapps.cn/detail/1124,2.9-1.1,http://app.loongapps.cn:8090/upload/file/pyacidobasic_2.9-1.1_all.deb,88KB,教育学习,开源软件,2025-01-20T09:03:00,http://app.loongapps.cn:8090/upload/image/202207201627384.png,/usr/bin/pyacidobasic
1216,psk31lx频谱分析仪,http://app.loongapps.cn/detail/1216,2.2-1.1,http://app.loongapps.cn:8090/upload/file/psk31lx_2.2-1.1_loongarch64.deb,36KB,音乐应用,开源软件,2025-01-20T08:59:30,http://app.loongapps.cn:8090/upload/image/2022091915060671.png,x-terminal-emulator -e psk31lx
264,phlipple益智游戏,http://app.loongapps.cn/detail/264,0.8.5-4.1,http://app.loongapps.cn:8090/upload/file/phlipple_0.8.5-4.1_loongarch64.deb,41.0 KB,游戏娱乐,开源软件,2025-01-20T08:58:21,http://app.loongapps.cn:8090/upload/image/2022022516320169.png,phlipple
1259,Persepolis下载器图形界面,http://app.loongapps.cn/detail/1259,3.0.1-1.1,http://app.loongapps.cn:8090/upload/file/persepolis_3.0.1-1.1_all.deb,136KB,办公应用,开源软件,2025-01-20T08:54:02,http://app.loongapps.cn:8090/upload/image/2022092015540871.png,persepolis
1189,Pax Britannica实施战略游戏,http://app.loongapps.cn/detail/1189,1.0.0-4,http://app.loongapps.cn:8090/upload/file/pax-britannica_1.0.0-4_loongarch64.deb,116KB,游戏娱乐,开源软件,2025-01-20T08:53:02,http://app.loongapps.cn:8090/upload/image/2022091611144599.png,pax-britannica
1176,Orbital Eunuchs Sniper射击游戏,http://app.loongapps.cn/detail/1176,1.30+svn20070601-4.1,http://app.loongapps.cn:8090/upload/file/orbital-eunuchs-sniper_1.30+svn20070601-4.1_loongarch64.deb,64KB,游戏娱乐,开源软件,2025-01-20T08:52:14,http://app.loongapps.cn:8090/upload/image/2022091610351829.png,/usr/games/snipe2d
157,openpref纸牌游戏,http://app.loongapps.cn/detail/157,0.1.3-2.1,http://app.loongapps.cn:8090/upload/file/openpref_0.1.3-2.1_loongarch64.deb,189.2 KB,游戏娱乐,开源软件,2025-01-20T08:51:18,http://app.loongapps.cn:8090/upload/image/2021112217555516.png,openpref
1880,njplot树状图绘制器,http://app.loongapps.cn/detail/1880,2.4-8.1,http://app.loongapps.cn:8090/upload/file/njplot_2.4-8.1_loongarch64.deb,95.2 KB,图像图形,开源软件,2025-01-20T08:47:44,http://app.loongapps.cn:8090/upload/image/2023110909334825.png,njplot
1188,Nikwi Deluxe益智类游戏,http://app.loongapps.cn/detail/1188,0.0.20120213-4.1,http://app.loongapps.cn:8090/upload/file/nikwi_0.0.20120213-4.1_loongarch64.deb,88KB,游戏娱乐,开源软件,2025-01-20T08:46:52,http://app.loongapps.cn:8090/upload/image/2022091611104058.png,nikwi
1137,Ngraph二维图形创建程序,http://app.loongapps.cn/detail/1137,6.08.00-1.2,http://app.loongapps.cn:8090/upload/file/ngraph-gtk_6.08.00-1.2_loongarch64.deb,100KB,图像图形,开源软件,2025-01-20T08:44:34,http://app.loongapps.cn:8090/upload/image/2022072115594146.png,ngraph
266,Nexuiz核心之力,http://app.loongapps.cn/detail/266,2.5.2+dp-7.1,http://app.loongapps.cn:8090/upload/file/nexuiz_2.5.2+dp-7.1_all.deb,45.1 KB,游戏娱乐,开源软件,2025-01-20T08:42:49,http://app.loongapps.cn:8090/upload/image/2022022816365364.png,/usr/games/nexuiz
1204,Sequence alignment nebio序列比对工具,http://app.loongapps.cn/detail/1204,0.0.20030929-4.1,http://app.loongapps.cn:8090/upload/file/neobio_0.0.20030929-4.1_all.deb,288KB,游戏娱乐,开源软件,2025-01-20T08:41:45,http://app.loongapps.cn:8090/upload/image/2022091617101753.png,/usr/bin/neobio
1264,Nautic Almanac天体观测软件,http://app.loongapps.cn/detail/1264,1.5-5,http://app.loongapps.cn:8090/upload/file/nautic_1.5-5_loongarch64.deb,220KB,办公应用,开源软件,2025-01-14T02:49:31,http://app.loongapps.cn:8090/upload/image/2022092016081262.png,nautic
486,mtpaint绘图,http://app.loongapps.cn/detail/486,3.40-3.lnd.3,http://app.loongapps.cn:8090/upload/file/mtpaint_3.40-3.lnd.3_loongarch64.deb,512.0 KB,图像图形,开源软件,2025-01-14T02:48:48,http://app.loongapps.cn:8090/upload/image/2022042209100225.png,mtpaint
497,mm3d模型编辑器,http://app.loongapps.cn/detail/497,1.3.11-1.1,http://app.loongapps.cn:8090/upload/file/mm3d_1.3.11-1.1_loongarch64.deb,1.1 MB,图像图形,开源软件,2025-01-14T02:47:12,http://app.loongapps.cn:8090/upload/image/2022042211491176.png,mm3d
1722,USB 镜像写入工具,http://app.loongapps.cn/detail/1722,1.4.6-1.lnd.2,http://app.loongapps.cn:8090/upload/file/mintstick_1.4.6-1.lnd.2_all.deb,41.1 KB,系统工具,开源软件,2025-01-14T02:44:12,http://app.loongapps.cn:8090/upload/image/2023081011061927.png,mintstick -m iso
1180,M.A.R.S.射击游戏,http://app.loongapps.cn/detail/1180,0.7.6-4.1,http://app.loongapps.cn:8090/upload/file/marsshooter_0.7.6-4.1_loongarch64.deb,272KB,游戏娱乐,开源软件,2025-01-14T02:42:51,http://app.loongapps.cn:8090/upload/image/2022091610470557.png,marsshooter
1175,Lure of the Temptress冒险类游戏,http://app.loongapps.cn/detail/1175,1.1+ds2-3.1,http://app.loongapps.cn:8090/upload/file/lure-of-the-temptress_1.1+ds2-3.1_all.deb,8.8MB,游戏娱乐,开源软件,2025-01-14T02:41:24,http://app.loongapps.cn:8090/upload/image/2022091610325410.png,lure
1252,loook文本搜索工具,http://app.loongapps.cn/detail/1252,0.8.6-1.1,http://app.loongapps.cn:8090/upload/file/loook_0.8.6-1.1_all.deb,24KB,办公应用,开源软件,2025-01-14T02:38:59,http://app.loongapps.cn:8090/upload/image/202209201535116.png,loook
383,lmemory记忆游戏,http://app.loongapps.cn/detail/383,0.6c-9.1,http://app.loongapps.cn:8090/upload/file/lmemory_0.6c-9.1_loongarch64.deb,118.8 KB,游戏娱乐,开源软件,2025-01-14T02:32:52,http://app.loongapps.cn:8090/upload/image/2022040110011187.png,lmemory
1293,krop文件裁剪工具,http://app.loongapps.cn/detail/1293,0.5.1+ds-1.1,http://app.loongapps.cn:8090/upload/file/krop_0.5.1+ds-1.1_all.deb,24KB,办公应用,开源软件,2025-01-14T02:32:21,http://app.loongapps.cn:8090/upload/image/2022092211315242.png,krop
185,Kronometer秒表,http://app.loongapps.cn/detail/185,2.2.1-2.1,http://app.loongapps.cn:8090/upload/file/kronometer_2.2.1-2.1_loongarch64.deb,200.7 KB,其他应用,开源软件,2025-01-14T02:31:48,http://app.loongapps.cn:8090/upload/image/2021120715155732.png,kronometer
180,klavaro打字练习,http://app.loongapps.cn/detail/180,3.03-2.1,http://app.loongapps.cn:8090/upload/file/klavaro_3.03-2.1_loongarch64.deb,810.7 KB,教育学习,开源软件,2025-01-13T03:10:01,http://app.loongapps.cn:8090/upload/image/2021120714351065.png,klavaro
1268,Keyman Keyborads键盘驱动程序,http://app.loongapps.cn/detail/1268,11.0.103-2.1,http://app.loongapps.cn:8090/upload/file/keyman_11.0.103-2.1_all.deb,52KB,系统工具,开源软件,2025-01-13T03:09:16,http://app.loongapps.cn:8090/upload/image/2022092115050326.png,km-config
247,KeePassXC密码管理器,http://app.loongapps.cn/detail/247,2.3.4+dfsg.1-1.1,http://app.loongapps.cn:8090/upload/file/keepassxc_2.3.4+dfsg.1-1.1_loongarch64.deb,1.6 MB,其他应用,开源软件,2025-01-13T03:08:28,http://app.loongapps.cn:8090/upload/image/2022021711311396.png,keepassxc
173,kazam录屏,http://app.loongapps.cn/detail/173,1.4.5-2.2,http://app.loongapps.cn:8090/upload/file/kazam_1.4.5-2.2_all.deb,1.0 MB,办公应用,开源软件,2025-01-13T03:07:48,http://app.loongapps.cn:8090/upload/image/202112031622369.png,kazam
1249,Anthy Dictionary editor字典程序,http://app.loongapps.cn/detail/1249,2.5-9.1,http://app.loongapps.cn:8090/upload/file/kasumi_2.5-9.1_loongarch64.deb,60KB,办公应用,开源软件,2025-01-13T03:06:56,http://app.loongapps.cn:8090/upload/image/2022092015270496.png,kasumi
453,kaffeine媒体播放器,http://app.loongapps.cn/detail/453,2.0.15-2.1,http://app.loongapps.cn:8090/upload/file/kaffeine_2.0.15-2.1_loongarch64.deb,6.2 MB,视频播放,开源软件,2025-01-13T03:03:48,http://app.loongapps.cn:8090/upload/image/2022041515162492.png,kaffeine
1294,Joe's Own Editor文本编辑器,http://app.loongapps.cn/detail/1294,4.6-1.1,http://app.loongapps.cn:8090/upload/file/joe_4.6-1.1_loongarch64.deb,492KB,办公应用,开源软件,2025-01-13T03:02:38,http://app.loongapps.cn:8090/upload/image/2022092211351393.png,x-terminal-emulator -e joe
239,jEdit文本编辑器,http://app.loongapps.cn/detail/239,5.5.0+dfsg-1.1,http://app.loongapps.cn:8090/upload/file/jedit_5.5.0+dfsg-1.1_all.deb,2.4 MB,编程开发,开源软件,2025-01-13T03:01:48,http://app.loongapps.cn:8090/upload/image/2022021410192922.png,jedit
210,HomeBank财务管理器,http://app.loongapps.cn/detail/210,5.2.2-1.1,http://app.loongapps.cn:8090/upload/file/homebank_5.2.2-1.1_loongarch64.deb,326.2 KB,其他应用,开源软件,2025-01-13T03:00:57,http://app.loongapps.cn:8090/upload/image/2022011317142767.png,homebank
792,hardinfo硬件检测工具,http://app.loongapps.cn/detail/792,0.5.1+git20180227-2.lnd.6,http://app.loongapps.cn:8090/upload/file/hardinfo_0.5.1+git20180227-2.lnd.6_loongarch64.deb,305.6KB,系统工具,开源软件,2025-01-13T03:00:18,http://app.loongapps.cn:8090/upload/image/2022051715161437.png,hardinfo
449,handbrake视频转码工具,http://app.loongapps.cn/detail/449,1.2.2+ds1-1.1,http://app.loongapps.cn:8090/upload/file/handbrake_1.2.2+ds1-1.1_loongarch64.deb,3.2 MB,视频播放,开源软件,2025-01-13T02:59:16,http://app.loongapps.cn:8090/upload/image/2022041514595339.png,ghb
1503,guvcview摄像头录像软件,http://app.loongapps.cn/detail/1503,2.0.6+debian-1.1.lnd.3,http://app.loongapps.cn:8090/upload/file/guvcview_2.0.6+debian-1.1.lnd.3_loongarch64.deb,139.8KB,图像图形,开源软件,2025-01-13T02:23:00,http://app.loongapps.cn:8090/upload/image/2023042611441517.png,guvcview
225,Gummi阅读翻译,http://app.loongapps.cn/detail/225,0.6.6-5.1,http://app.loongapps.cn:8090/upload/file/gummi_0.6.6-5.1_loongarch64.deb,299.9 KB,办公应用,开源软件,2025-01-13T02:19:58,http://app.loongapps.cn:8090/upload/image/2022011911014718.png,gummi
1217,gtkGuitune乐器调音工具,http://app.loongapps.cn/detail/1217,0.8-7kylin4,http://app.loongapps.cn:8090/upload/file/gtkguitune_0.8-7kylin4_loongarch64.deb,48KB,音乐应用,开源软件,2025-01-13T01:54:46,http://app.loongapps.cn:8090/upload/image/2022091915101834.png,aoss gtkguitune
1248,GTImer计时器,http://app.loongapps.cn/detail/1248,2.0.0-1.3,http://app.loongapps.cn:8090/upload/file/gtimer_2.0.0-1.3_loongarch64.deb,80KB,办公应用,开源软件,2025-01-13T01:47:24,http://app.loongapps.cn:8090/upload/image/2022092015243762.png,gtimer
1454,gtimelog时间记录程序,http://app.loongapps.cn/detail/1454,0.11.2-1.1,http://app.loongapps.cn:8090/upload/file/gtimelog_0.11.2-1.1_all.deb,202.1KB,办公应用,开源软件,2025-01-13T01:38:58,http://app.loongapps.cn:8090/upload/image/2023033011105539.png,gtimelog
381,gtans拼图游戏,http://app.loongapps.cn/detail/381,1.99.0-2.1,http://app.loongapps.cn:8090/upload/file/gtans_1.99.0-2.1_loongarch64.deb,159.7 KB,游戏娱乐,开源软件,2025-01-13T01:38:20,http://app.loongapps.cn:8090/upload/image/2022040109314952.png,gtans
352,Gscan2PDF文字识别,http://app.loongapps.cn/detail/352,2.3.0-1.1,http://app.loongapps.cn:8090/upload/file/gscan2pdf_2.3.0-1.1_all.deb,368.6 KB,办公应用,开源软件,2025-01-13T01:28:28,http://app.loongapps.cn:8090/upload/image/202203291528425.png,gscan2pdf
409,gretl经济学分析,http://app.loongapps.cn/detail/409,2019a-1.1,http://app.loongapps.cn:8090/upload/file/gretl_2019a-1.1_loongarch64.deb,4.2 MB,其他应用,开源软件,2025-01-13T01:27:33,http://app.loongapps.cn:8090/upload/image/202204071047154.png,/usr/bin/gretl
479,gpicview图像查看器,http://app.loongapps.cn/detail/479,0.2.5-2.1,http://app.loongapps.cn:8090/upload/file/gpicview_0.2.5-2.1_loongarch64.deb,139.3 KB,图像图形,开源软件,2025-01-13T01:26:54,http://app.loongapps.cn:8090/upload/image/202204211727307.png,gpicview
1210,Goodvibes网络电台播放器,http://app.loongapps.cn/detail/1210,0.4.2-1.1,http://app.loongapps.cn:8090/upload/file/goodvibes_0.4.2-1.1_loongarch64.deb,208KB,音乐应用,开源软件,2025-01-13T01:26:09,http://app.loongapps.cn:8090/upload/image/2022091914432640.png,goodvibes %u
169,Gnote便笺,http://app.loongapps.cn/detail/169,3.30.0-2.1,http://app.loongapps.cn:8090/upload/file/gnote_3.30.0-2.1_loongarch64.deb,4.1 MB,办公应用,开源软件,2025-01-13T01:25:20,http://app.loongapps.cn:8090/upload/image/2021112609233990.png,gnote
477,gnome-paint画图工具,http://app.loongapps.cn/detail/477,0.4.0-7.1,http://app.loongapps.cn:8090/upload/file/gnome-paint_0.4.0-7.1_loongarch64.deb,81.9 KB,图像图形,开源软件,2025-01-13T01:24:32,http://app.loongapps.cn:8090/upload/image/2022042117194037.png,gnome-paint
1218,Gnomad设备管理器,http://app.loongapps.cn/detail/1218,2.9.6-6,http://app.loongapps.cn:8090/upload/file/gnomad2_2.9.6-6_loongarch64.deb,136KB,音乐应用,开源软件,2025-01-13T01:16:32,http://app.loongapps.cn:8090/upload/image/2022091915151245.png,gnomad2
1910,gkrellm监视器,http://app.loongapps.cn/detail/1910,2.3.10-2.1,http://app.loongapps.cn:8090/upload/file/gkrellm_2.3.10-2.1_loongarch64.deb,524.9 KB,系统工具,开源软件,2025-01-13T01:15:40,http://app.loongapps.cn:8090/upload/image/202311221155092.png,gkrellm
107,GNU图像处理程序,http://app.loongapps.cn/detail/107,2.10.8-2.1.lnd.1,http://app.loongapps.cn:8090/upload/file/gimp_2.10.8-2.1.lnd.1_loongarch64.deb,5.9 MB,"图像图形,教育学习",开源软件,2025-01-08T01:27:27,http://app.loongapps.cn:8090/upload/image/2021102017193299.png,gimp-2.10
487,gextractwinicons图标提取工具,http://app.loongapps.cn/detail/487,0.3.1-1.2,http://app.loongapps.cn:8090/upload/file/gextractwinicons_0.3.1-1.2_all.deb,20.5 KB,图像图形,开源软件,2025-01-08T01:25:11,http://app.loongapps.cn:8090/upload/image/2022042209142325.png,/usr/bin/gextractwinicons
889,Gerbv文件查看器,http://app.loongapps.cn/detail/889,2.7.0-1.lnd.2,http://app.loongapps.cn:8090/upload/file/gerbv_2.7.0-1.lnd.2_loongarch64.deb,1.7MB,编程开发,开源软件,2025-01-08T01:24:06,http://app.loongapps.cn:8090/upload/image/2022053010413361.png,gerbv
1147,GDIS Molecule Modeller模拟晶体软件,http://app.loongapps.cn/detail/1147,0.90-5.1,http://app.loongapps.cn:8090/upload/file/gdis_0.90-5.1_loongarch64.deb,680KB,编程开发,开源软件,2025-01-08T01:23:18,http://app.loongapps.cn:8090/upload/image/202207271727070.png,gdis
1280,gconf-edito注册表编,http://app.loongapps.cn/detail/1280,3.0.1-6.1,http://app.loongapps.cn:8090/upload/file/gconf-editor_3.0.1-6.1_loongarch64.deb,1.1MB,系统工具,开源软件,2025-01-08T01:22:25,http://app.loongapps.cn:8090/upload/image/2022092115445154.png,gconf-editor
258,Galculator计算器,http://app.loongapps.cn/detail/258,2.1.4-1.lnd.2,http://app.loongapps.cn:8090/upload/file/galculator_2.1.4-1.lnd.2_loongarch64.deb,397.3 KB,办公应用,开源软件,2025-01-08T01:20:57,http://app.loongapps.cn:8090/upload/image/2022022310562051.png,galculator
441,Extremetuxracer竞速游戏,http://app.loongapps.cn/detail/441,0.7.5-1.1,http://app.loongapps.cn:8090/upload/file/extremetuxracer_0.7.5-1.1_loongarch64.deb,208.9 KB,游戏娱乐,开源软件,2025-01-08T01:13:55,http://app.loongapps.cn:8090/upload/image/2022041416222765.png,etr
566,yuview播放器,http://app.loongapps.cn/detail/566,2.14-1,http://app.loongapps.cn:8090/upload/file/yuview_2.14-1_loongarch64.deb,19.9 MB,视频播放,开源软件,2025-01-07T00:57:42,http://app.loongapps.cn:8090/upload/image/2022042716481259.png,YUView
1480,colorhug-client硬件传感器,http://app.loongapps.cn/detail/1480,0.2.8-3.1,http://app.loongapps.cn:8090/upload/file/colorhug-client_0.2.8-3.1_loongarch64.deb,638.6KB,编程开发,开源软件,2025-01-06T02:00:26,http://app.loongapps.cn:8090/upload/image/2023042010524472.png,colorhug-backlight
1195,Excellent Bifuecation射击游戏,http://app.loongapps.cn/detail/1195,0.0.20071015-8.1,http://app.loongapps.cn:8090/upload/file/excellent-bifurcation_0.0.20071015-8.1_loongarch64.deb,656KB,游戏娱乐,开源软件,2025-01-06T01:45:20,http://app.loongapps.cn:8090/upload/image/2022091611284999.png,/usr/games/excellent-bifurcation
1223,Entagged音频文件标记器,http://app.loongapps.cn/detail/1223,0.35-6.1,http://app.loongapps.cn:8090/upload/file/entagged_0.35-6.1_all.deb,1.2MB,音乐应用,开源软件,2025-01-06T01:43:21,http://app.loongapps.cn:8090/upload/image/2022091915381549.png,entagged
1199,Engauge图形数字化工具,http://app.loongapps.cn/detail/1199,10.10+ds.1-1.1,http://app.loongapps.cn:8090/upload/file/engauge-digitizer_10.10+ds.1-1.1_loongarch64.deb,1016KB,教育学习,开源软件,2025-01-06T01:42:18,http://app.loongapps.cn:8090/upload/image/2022091616561046.png,engauge
1251,eFTE文本编辑器,http://app.loongapps.cn/detail/1251,1.1-3,http://app.loongapps.cn:8090/upload/file/efte_1.1-3_loongarch64.deb,380KB,办公应用,开源软件,2025-01-06T01:40:37,http://app.loongapps.cn:8090/upload/image/2022092015330683.png,efte
182,Diffpdf,http://app.loongapps.cn/detail/182,2.1.3-1.3,http://app.loongapps.cn:8090/upload/file/diffpdf_2.1.3-1.3_loongarch64.deb,129.6 KB,办公应用,开源软件,2025-01-06T01:39:37,http://app.loongapps.cn:8090/upload/image/202112071501308.png,diffpdf
242,csmash乒乓球游戏,http://app.loongapps.cn/detail/242,0.6.6-6.9,http://app.loongapps.cn:8090/upload/file/csmash_0.6.6-6.9_loongarch64.deb,140.2KB,游戏娱乐,开源软件,2025-01-06T01:37:18,http://app.loongapps.cn:8090/upload/image/2022021517152457.png,csmash
429,crimson战争游戏,http://app.loongapps.cn/detail/429,0.5.2-1.2,http://app.loongapps.cn:8090/upload/file/crimson_0.5.2-1.2_loongarch64.deb,700.4 KB,游戏娱乐,开源软件,2025-01-06T01:36:18,http://app.loongapps.cn:8090/upload/image/2022041215190259.png,crimson
1242,CodFis代码生成工具,http://app.loongapps.cn/detail/1242,0.4.7-2.1,http://app.loongapps.cn:8090/upload/file/codfis_0.4.7-2.1_loongarch64.deb,324KB,办公应用,开源软件,2025-01-06T01:31:36,http://app.loongapps.cn:8090/upload/image/2022092015065053.png,codfis
151,Chromium B.S.U.射击游戏,http://app.loongapps.cn/detail/151,0.9.16.1-2.1,http://app.loongapps.cn:8090/upload/file/chromium-bsu_0.9.16.1-2.1_loongarch64.deb,121.8 KB ,游戏娱乐,开源软件,2025-01-06T01:28:10,http://app.loongapps.cn:8090/upload/image/2021111917303999.png,chromium-bsu
370,chessx国际象棋,http://app.loongapps.cn/detail/370,1.4.6-2.1,http://app.loongapps.cn:8090/upload/file/chessx_1.4.6-2.1_loongarch64.deb,3.9 MB,游戏娱乐,开源软件,2025-01-06T01:27:09,http://app.loongapps.cn:8090/upload/image/2022033115503790.png,chessx
